Unnamed: 0,Dosya Adı,Cümle Sayısı,Hece Sayısı,Cümle Başına Ortalama Kelime Sayısı,Cümle Başına Ortalama Hece Sayısı,Ateşman Okunabilirlik Puanı,Ofansif Cümle Sayısı,Ofansif Cümle Oranı,Ofansif Cümle Yüzdesi,Ofansif Kelime Sayısı,Ofansif Kelime Oranı,Kelime Sayısı,Ofansif Kelime Sayısının Ofansif Olmayan Kelime Sayısına oranı,FRES,CetinKayaUzun,Ortalama Cümle Ofansifliği,Önerilen Yaş Aralığı
63,İvo Andriç - Drina Köprüsü-İletişim Yayınları (2016).txt,11122,249465,8.600521488940839,22.42986872864593,71.60259971047724,2672,0.2402445603308757,0.3162130177514793,1872,0.0195703308765877,95655,0.0199609737372444,220.1688641339187,42.69867785879545,0.2409606211390451,12-15
64,J. K. Rowling - Ozan Beedle'in Hikayeleri.txt,511,21637,16.3013698630137,42.34246575342465,51.92470617013928,48,0.0939334637964774,0.1036717062634989,126,0.015126050420168,8330,0.015358361774744,212.2637818579487,35.49368330839184,0.0943099591522678,8-12
65,Jack London - Beyaz Diş-Türkiye İş Bankası Kültür Yayınları (2016).txt,5031,146273,11.30331941959849,29.07433909759491,65.98541141991765,303,0.060226595110316,0.0640862944162436,1137,0.019994021137039,56867,0.020401937914947,217.1228985454513,41.00385134899479,0.0635693441752652,8-12
66,Jeff Kinney - Saftirik Greg'in Günlüğü 1.txt,1327,32325,9.590806330067824,24.3594574227581,71.75348302468467,58,0.0437076111529766,0.0457052797478329,294,0.0231004950106073,12727,0.02364674656157,218.5876813039039,43.50657322306492,0.0457074516696733,8-12
67,John Buchan - Otuz Dokuz Basamak.txt,2689,81082,11.77017478616586,30.15321680922276,65.1832213752477,102,0.0379323168464113,0.0394279087746424,595,0.0187993680884676,31650,0.0191595556271131,216.5613759095772,40.81981797615585,0.0386361754611072,12-15
68,John Steinbeck - Fareler ve İnsanlar  .txt,3674,54523,5.980402830702232,14.84022863364181,83.52283325595965,317,0.0862819814915623,0.0944295501936252,376,0.0171126888767522,21972,0.0174106315984441,221.7581816784484,48.52990100685874,0.0901342822405409,8-12
69,Jonathan Swift - Gulliver'in Gezileri.txt,3619,195995,20.42332135949157,54.15722575297043,38.98669791207983,144,0.0397899972368057,0.0414388489208633,1267,0.0171420067106829,73912,0.017440980108748,208.5390026484525,30.08133063641382,0.0426129007295562,8-12
70,Jules-Verne-Iki-Yil-Okul-Tatili.txt,3139,79789,9.890092386110226,25.41860465116279,69.75777367334749,147,0.0468302007008601,0.0491310160427807,505,0.0162667096150748,31045,0.016535690897184,218.5396691287262,42.43032609112207,0.0505849692008706,12-15
71,L. N. Tolstoy - Savaş ve Barış I. 1-Yordam Kitap (2016).txt,10312,350296,13.06400310318076,33.96974398758728,60.26269313410776,1270,0.1231574864235842,0.1404556514045565,2886,0.0214228450963508,134716,0.0218918303876204,215.5731971281895,38.56501715439365,0.1239684179811255,12-15
72,L. N. Tolstoy - Savaş ve Barış II. 2-Yordam Kitap (2016).txt,10202,354923,13.46157616153695,34.78955106841796,59.86364679653686,1129,0.110664575573417,0.124435137220324,2105,0.0153274838897586,137335,0.0155660726170228,215.0351808309838,38.59206147855622,0.1117159817674463,12-15
73,L. N. Tolstoy - Savaş ve Barış III. 3-Yordam Kitap (2016).txt,9812,386016,14.92244190786792,39.34121483897269,53.96089393003522,1328,0.135344476151651,0.1565299387081565,3340,0.0228112471742055,146419,0.0233437471606594,213.9924891439381,35.82172371701365,0.1365894518854242,12-15
