isbn,title,author,residual,segment
9789753551663,Gül Yetiştiren Adam,Rasim Özdenören,2.801237928726967,İZ YAYINCILIK_ekonomik
9786254054372,Son Kuşlar,Sait Faik Abasıyanık,3.2856162769361035,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI_ucuz
9786055289218,Gece Yolu,Kristin Hannah,1.0686907563519563,PEGASUS YAYINLARI_ekonomik
9786059371391,Bir Devlete Adını Veren Ata Selçuk Bey,Ahmet Haldun Terzioğlu,0.3526388736724968,PANAMA YAYINCILIK_orta
9786050941524,Zaman Kapısı / Ulysses Moore 1 (Karton Kapak),Pierdomenico Baccalario,0.43330250986204044,DOĞAN EGMONT ÇOCUK KİTAPLARI_ekonomik
9786257913362,Kızların Suskunluğu,Pat Barker,0.3846110234984943,İTHAKİ YAYINLARI_orta
9786051592039,Hayatü's Sahabe & Peygamberimiz ve İlk Müslümanların Hayatı (4 Cilt),M. Yusuf Kandehlevi,0.3914546736730613,SEMERKAND  YAYINCILIK_premium
9786053431169,4000 Yıllık Tarihi Aldatmacalar,Gerald Messadie,0.38706819590772934,PEGASUS YAYINLARI_orta
9789753627184,İsimle Ateş Arasında,Prof. Dr. Nazan Bekiroğlu,0.516083518573037,TİMAŞ YAYINLARI_orta
9789752124165,Örümcek Ağı,Agatha Christie,1.6325770237106072,ALTIN KİTAPLAR_ekonomik
9786058422841,Dedemin Bakkalı,Şermin Yaşar,2.3347469855150855,TAZE KİTAP_orta
9780628431011,Tuz Dedektifleri Seti (5 Kitap),Fatma Çağdaş Börekçi,0.8387322795791228,ERDEM ÇOCUK YAYINLARI_orta
9789759018467,Hz. İbrahim (A.S) ve Nemrud,unknown,1.2593525553183245,FAZİLET NEŞRİYAT_ekonomik
9789759963538,Rüzgar Avı,Fatma Barbarosoğlu,0.4360300172172744,PROFİL KİTAP_ekonomik
9789754993943,Sayı Avcısı 1,Sibel Bayamlıoğlu,0.4586425025780838,KÖK YAYINCILIK_ekonomik
